,Corticotrophs,Gonadotrophs,Lactotrophs,Melanotrophs,Somatotrophs,Stem_cells,Thyrotrophs
0610005C13Rik,0.43012334616625636,0.4883031836754761,0.5554569631321563,0.5525531671477016,0.6607001683736007,0.3576212094635202,0.4671589203701655
0610006L08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610009E02Rik,1.036141996536767,1.1731091422378745,1.250479555294045,1.2967522688260367,1.2738670301367094,0.9512747638148219,1.1259719411427578
0610009L18Rik,1.1596653882237073,0.9183536626661806,1.0648609172450756,1.0014485088312375,1.0739172266512067,1.309619831854946,0.9883299721468468
0610010K14Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610012D04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610025J13Rik,0.22128255009421569,0.24246328276613033,0.5785867533625473,0.3783200848763776,0.20055474787481845,0.5226512283622549,0.2285179952029462
0610030E20Rik,1.3759459745162335,1.3247564916676464,1.37546584884455,1.4106635324919758,1.442438427475161,1.3757789678428125,1.391883875270528
0610031O16Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610033M10Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610038B21Rik,0.7754899764600234,0.48497938055280454,0.5506082786089551,0.15340105889017042,0.7057835141031295,0.09989187656415228,0.23843046934101614
0610039K10Rik,0.0,0.0,0.027642176391431964,0.0,0.05536637789053863,0.0,0.0
0610040B10Rik,1.2018184994409649,1.1732184689559002,1.147584129049546,1.1764853308147407,1.054625819840329,0.8330491180679513,1.0610455241150176
0610040F04Rik,1.0554514067680578,0.6413540972103138,0.6798106208229026,0.8977363036353714,0.8638096207366281,0.801607462515119,0.7626080862446323
0610040J01Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610043K17Rik,1.5157647680293282,1.2292116635924297,1.3318223482959706,1.3236986226067138,1.4817119059089081,1.6729451068847045,1.4250233136721817
0710001A04Rik,0.0,0.0,0.04660348845846081,0.0,0.05151193979365842,0.0,0.0
1010001B22Rik,0.24702861813578778,0.0,0.3638832139052421,0.14650611686600978,0.23069083476752547,0.4648744237271146,0.0
1100001I12Rik,0.0,0.0,0.0,0.0,0.05098743026006543,0.0,0.0
1110002E22Rik,0.23075856512200268,0.0,0.006165490478899401,0.1199917565125286,0.4229416819895675,0.0,0.16843017152235606
1110002J07Rik,0.0,0.043896211853335886,0.11218536668442367,0.2801665206926757,0.17808103505685094,0.0,0.0
1110002L01Rik,1.3334506011581893,1.4522039012261454,1.4208425408297845,1.4256198497581087,1.5133439393433679,1.132129970394668,1.4862520345833397
1110002O04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110004F10Rik,1.959532503638009,1.8519781273420786,1.9668737057320886,1.8707779866484011,1.9266245318277169,1.99958045362209,1.9258064445408003
1110006O24Rik,0.697377742160675,0.7292061460612685,0.7009089974464633,0.6167708057887342,0.5432436302547404,0.4336525447725617,0.5755390773439555
1110008E08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110015O18Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110018N20Rik,0.7763151973912263,0.8143544484374456,0.570250002820876,0.8242684435327917,0.8887027500505842,0.3914099391153827,0.8511635624522631
1110019B22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110019D14Rik,1.5816568743410904,1.6449314638802206,1.5824972046319337,1.8146982811853418,1.4260263131340876,1.5129053923259408,1.3415235937307366
1110020A21Rik,0.8011017672083808,0.6607911109615461,0.7613052765608767,0.809826037481478,0.7512227260163141,0.8640108886496827,0.7147507586572798
1110028F11Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110028F18Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110032F04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110035H17Rik,0.7228589846891781,0.6263371868466724,0.7346971967421175,0.7942917083249678,0.6798739450326114,0.6525621106327525,0.7566395256136513
1110038B12Rik,1.3484648057670845,1.2668892853997282,1.4394448964520987,1.364190509401367,1.266882970310739,1.3882053927712632,1.3490932799195996
1110038F14Rik,1.7294461938426051,1.6136578600140374,1.7270514399465757,1.679365483683367,1.6206307245416023,1.7631745184349392,1.6628023633867044
1110046J04Rik,1.4009349059631189,1.689397368722151,1.4349552021874608,1.4396603826708747,1.540339759368178,1.2468003126901914,1.4222585984514375
1110059E24Rik,1.812249235702526,1.7773373173357192,1.7483475822564027,1.768464308361745,1.784087251171352,1.843350762597221,1.7625798912418857
1110059G10Rik,1.2567256786760197,1.1455406457478137,1.2866772834956155,1.245643699770716,1.2068738990496302,1.3011250392544627,1.288243253676668
1110065P20Rik,1.5466479997846574,1.4809073315437664,1.5931988605310998,1.5163831261071263,1.5503608482180182,1.5709562241506467,1.493029144373129
1190001M18Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1190005I06Rik,0.42817600461168154,0.4056191803362787,0.4102579054191392,0.24502236835475896,0.6262300462118073,0.6339635155732872,0.6144682160789948
1190028D05Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200007C13Rik,0.2619354242725168,0.0,0.0,0.8911235595217666,0.09392310291768127,0.40295327168254946,0.0
1300002E11Rik,1.2462623761154286,1.1918487427433047,1.2691563631957663,1.1993903631256784,1.2414100048748749,1.4121245981714199,1.2439812115467381
1300014J16Rik,0.6979879231804154,0.5016557795938146,0.6212180883283233,0.6527824783701207,0.7098570294722678,0.5935491065883485,0.5630896228420496
1500002C15Rik,0.7465811202233082,0.6086105219475435,0.6796082826055541,0.6746198376165394,0.6732959683645978,0.5172077484625893,0.5756155719983127
1500002F19Rik,0.0,0.0,0.11201016037605534,0.0,0.08689047428991427,0.20629057771183668,0.0
1500004A13Rik,1.5477773827000245,1.6005825581137665,1.5258938230756809,1.6585713699980964,1.6767723133629446,1.3383287939884507,1.5706456137095197
1500009L16Rik,0.6840164499506624,1.800782536020264,0.7253118985014335,0.9204997866380845,0.4734084675198753,0.4952617688064436,0.9021105196577903
1500012K07Rik,0.38656581566863324,0.0,0.14023245436876178,1.0576999526674458,0.2206764094093499,0.0,0.14004818969097377
1500015A07Rik,1.2820294511822623,1.1846754782760693,1.1914562674835238,1.238333354735639,1.2746924607903947,1.0625461666539762,1.0415262783767272
1500015L24Rik,0.0,0.0,0.25464355202441535,0.0,0.1370822539439557,0.29246418875289876,0.0
1500026H17Rik,1.1664452144175854,1.1227516174940972,1.3091568074486764,1.1407001591516353,1.397288713887002,0.9202117738962523,1.2530577454038956
1500032F14Rik,0.6042644362144625,0.43786861204044225,0.38792274801665294,0.4230265643322429,0.42507535723579476,0.2709275420842744,0.24031132921032797
1500035N22Rik,1.497158904571286,1.0803276593152118,1.3011723711941632,1.1541310595156504,1.23474208288449,0.5878993463857507,1.286702167415001
1600002D24Rik,0.33385508944406106,0.7962480775328205,0.8498727355694671,0.5108369495433044,0.8533804309190649,0.8344754100749217,0.5142457202430932
1600010M07Rik,1.499018876058851,1.2300897239668918,1.3810946784039007,1.312548535959205,1.5171084796399683,1.3983414076586538,1.4296156731056304
1600012H06Rik,1.0571768591533803,1.0874383104289065,1.146547483545537,1.0333800331414302,1.1359236554783223,1.071436579265633,1.0947669917499177
1600012P17Rik,0.0,0.0,0.0,0.0,0.013716860821136628,0.0,0.0
1600014C10Rik,1.028171319095057,1.0562198832199785,1.1115750374386435,1.099209459223435,1.0784825830475164,0.91791492649677,1.036329270755322
1600014C23Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600019K03Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600020E01Rik,1.7054559117903771,1.8086183087208532,1.8147999839937141,1.739301565743715,1.8335909078791675,1.6271602082587748,1.6509670449214522
1600022D10Rik,0.0,0.1415571374678023,0.02415356618868347,0.0,0.13810242735675507,0.30751959432762616,0.0
1600025M17Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600027J07Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0
